unixday,close
1514903400,144.6199951171875
1514989800,144.58999633789062
1515076200,144.60000610351562
1515162600,144.77999877929688
1515421800,145.0500030517578
1515508200,147.82000732421875
1515594600,149.6199951171875
1515681000,151.49000549316406
1515767400,151.83999633789062
1516113000,152.25999450683594
1516199400,154.22999572753906
1516285800,153.7100067138672
1516372200,155.25
1516631400,155.72000122070312
1516717800,155.77000427246094
1516804200,157.74000549316406
1516890600,157.8000030517578
1516977000,158.66000366210938
1517236200,159.2100067138672
1517322600,157.89999389648438
1517409000,158.02000427246094
1517495400,159.14999389648438
1517581800,157.97000122070312
1517841000,150.32000732421875
1517927400,154.2899932861328
1518013800,155.0
1518100200,149.3800048828125
1518186600,151.7100067138672
1518445800,152.27999877929688
1518532200,153.2899932861328
1518618600,158.27000427246094
1518705000,159.86000061035156
1518791400,159.0800018310547
1519137000,159.1300048828125
1519223400,161.27999877929688
1519309800,157.60000610351562
1519396200,160.08999633789062
1519655400,161.8300018310547
1519741800,160.22999572753906
1519828200,157.66000366210938
1519914600,155.99000549316406
1520001000,157.42999267578125
1520260200,158.7100067138672
1520346600,159.33999633789062
1520433000,159.63999938964844
1520519400,159.49000549316406
1520605800,162.4499969482422
1520861400,162.25999450683594
1520947800,160.49000549316406
1521034200,158.08999633789062
1521120600,157.8699951171875
1521207000,160.07000732421875
1521466200,159.42999267578125
1521552600,158.85000610351562
1521639000,158.88999938964844
1521725400,153.27999877929688
1521811800,147.24000549316406
1522071000,153.00999450683594
1522157400,149.17999267578125
1522243800,149.4499969482422
1522330200,151.24000549316406
1522675800,148.32000732421875
1522762200,151.10000610351562
1522848600,152.5
1522935000,152.75999450683594
1523021400,147.9499969482422
1523280600,149.2100067138672
1523367000,151.5399932861328
1523453400,149.44000244140625
1523539800,152.49000549316406
1523626200,145.4600067138672
1523885400,143.83999633789062
1523971800,140.86000061035156
1524058200,141.66000366210938
1524144600,144.25999450683594
1524231000,144.1199951171875
1524490200,145.2100067138672
1524576600,145.00999450683594
1524663000,145.6999969482422
1524749400,145.72999572753906
1524835800,147.33999633789062
1525095000,145.61000061035156
1525181400,145.33999633789062
1525267800,143.61000061035156
1525354200,145.02000427246094
1525440600,145.60000610351562
1525699800,145.89999389648438
1525786200,147.52999877929688
1525872600,150.2899932861328
1525959000,150.83999633789062
1526045400,150.97000122070312
1526304600,150.35000610351562
1526391000,150.7899932861328
1526477400,149.9499969482422
1526563800,150.64999389648438
1526650200,148.75999450683594
1526909400,149.42999267578125
1526995800,150.8800048828125
1527082200,149.72999572753906
1527168600,148.5
1527255000,148.14999389648438
1527600600,141.25
1527687000,144.30999755859375
1527773400,143.41000366210938
1527859800,145.1199951171875
1528119000,146.5399932861328
1528205400,145.38999938964844
1528291800,147.63999938964844
1528378200,148.00999450683594
1528464600,148.85000610351562
1528723800,147.02999877929688
1528810200,147.19000244140625
1528896600,145.60000610351562
1528983000,141.83999633789062
1529069400,143.97000122070312
1529328600,142.5
1529415000,142.14999389648438
1529501400,141.35000610351562
1529587800,141.33999633789062
1529674200,139.36000061035156
1529933400,138.42999267578125
1530019800,137.27999877929688
1530106200,135.3000030517578
1530192600,135.57000732421875
1530279000,135.10000610351562
1530538200,135.9199981689453
1530624600,134.38999938964844
1530797400,135.5800018310547
1530883800,136.0
1531143000,138.7899932861328
1531229400,137.75
